k01.01,k01.02,k01.03,k01.04,k01.05,k01.06,k02.07,k02.08,k02.09,k03.10,k03.11,k03.12,k03.13,k03.14,k03.15,k03.16,k03.17,k03.18,k03.19,k03.20,k03.21,k03.22,k03.23,k03.24,k05.34,k04.26,k04.27,k04.28,k04.29,k04.30,k04.31,k03.25,k04.32,k04.33,k05.35,k05.36,k05.37,k05.38,k05.39,k05.40,k05.41,k05.42,k05.43,k05.44,k05.45,k05.46,k05.47,k05.48,k06.49,k06.50,k06.51,k07.52,k07.53,k07.54,k07.55,k07.56,k08.57,k08.58,k09.59,k09.60,k09.61,k09.62,k09.63,k09.64,k09.65,k10.66,k10.67,k10.68,k10.69,k10.70,k10.71,k10.72,k10.73,k10.74,k10.75,k10.76,k10.77,k10.78,k11.79,k11.80,k11.81,k11.82,k11.83,k12.84,k12.85,k13.86,k13.87,k13.88,k13.89,k13.90,k13.91,k13.92,k13.93,k14.94,k14.95,k14.96
2021/02/17 18:59:08,Surveilans/Petugas Pelacakan Kontak,Dinas Kesehatan,1979,Pria,Diploma/S1,Mengikuti secara penuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,Program Surveilans & imunisasi ,Lebih dari 5 jam,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp300.001,00 - Rp500.000,00",,"Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya),Alhandulillah lancar,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,4,Kontak erat/kasus konfirmasi berhasil sembuh; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Telepon; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; New All Record (NAR); Aplikasi milik Kab/Kota,New All Record (NAR); Aplikasi milik Kab/Kota,Setiap hari,1,3,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Melakukan pelaporan dengan lebih praktis; Menerima hasil swab secara cepat,"Rp3.000.001,00 - Rp4.000.000,00",Ya,
2021/02/17 18:55:00,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1985,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Membantu wanita mulai dari kehamilan hingga melahirkan",3-5 jam,1-3 jam,3-5 jam,Lebih dari 5 jam,1-3 jam,Lebih dari 5 jam,1-3 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",,"Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh,WhatsApp; Telepon,WhatsApp; SMS; Telepon,Form PE kertas; Form Excel,Form Excel; New All Record (NAR); WhatsApp Group,Sebulan sekali,3,3,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Menerima hasil swab secara cepat,"Lebih dari Rp 4.000.000,00",Ya,Rela subarkah
2021/02/17 18:52:09,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1991,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal,Petunjuk Teknis (Juknis),Membantu anamnesa pasien,Lebih dari 5 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Pribadi,,,,,Pribadi,Puskesmas,,,,"Rp100.000,00 - Rp300.000,00","Rp500.001,00 - Rp700.000,00",Tidak ada,"Alamat kasus konfirmasi tidak lengkap; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus",Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,,Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Telepon; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Form Excel; New All Record (NAR),Form Excel; New All Record (NAR); WhatsApp Group,4-5 hari sekali,3,4,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi,"Rp3.000.001,00 - Rp4.000.000,00",Ya,Anggun Fauziah Utami
2021/02/17 18:48:02,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1988,Wanita,Diploma/S1,Mengikuti secara penuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Tablet,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,Membantu anamnesa pasien,Kurang dari 1 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Lebih dari Rp700.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus",Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp; Telepon; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Form Excel,Form Excel; New All Record (NAR); WhatsApp Group,Sebulan sekali,3,3,Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Menerima hasil swab secara cepat,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Indah Ridwanti
2021/02/16 15:44:10,Relawan,Puskesmas,1997,Pria,Diploma/S1,Tidak mengikuti,Ya,"Identifikasi kontak erat (wawancara); Organisasi lacak kontak (koordinasi, dll); Entri dan rekap data",Setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat tidak setuju,Sangat tidak setuju,Sangat tidak setuju,Sangat setuju,Sangat tidak setuju,Sangat tidak setuju,Sangat setuju,Sangat tidak setuju,Sangat setuju,Sangat tidak setuju,Tidak setuju,Tidak setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat tidak setuju,Sangat setuju,Sangat tidak setuju,Sangat tidak setuju,Sangat tidak setuju,Sangat tidak setuju,Sangat setuju,Sangat setuju,Sangat tidak setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat setuju,Sangat setuju,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mendapatkan panduan untuk perlindungan terhadap diri sendiri dan keluarga dalam situasi pandemi; Adanya insentif",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak; Berperan aktif dalam mengatasi pandemi; Adanya insentif tambahan,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone; Laptop,Lebih dari 5 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,
2021/02/16 15:42:48,Relawan,Puskesmas,1999,Wanita,Diploma/S1,Tidak mengikuti,Ya,"Identifikasi kontak erat (wawancara); Organisasi lacak kontak (koordinasi, dll); Entri dan rekap data",Setuju,Setuju,Tidak setuju,Setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Sangat setuju,Setuju,Tidak setuju,Setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Sangat setuju,Setuju,Tidak setuju,Setuju,Tidak setuju,Setuju,Setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Tidak setuju,Setuju,Tidak setuju,Setuju,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mendapatkan panduan untuk perlindungan terhadap diri sendiri dan keluarga dalam situasi pandemi",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak; Berperan aktif dalam mengatasi pandemi,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,
2021/02/16 15:42:38,Relawan,Puskesmas,1998,Wanita,Diploma/S1,Tidak mengikuti,Ya,"Identifikasi kontak erat (wawancara); Organisasi lacak kontak (koordinasi, dll); Entri dan rekap data",Setuju,Setuju,Tidak setuju,Setuju,Setuju,Setuju,Tidak setuju,Tidak setuju,Sangat setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mendapatkan panduan untuk perlindungan terhadap diri sendiri dan keluarga dalam situasi pandemi",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak; Berperan aktif dalam mengatasi pandemi,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone; Laptop,Lebih dari 5 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,
2021/02/16 15:40:20,Relawan,Puskesmas,1999,Wanita,Diploma/S1,Tidak mengikuti,Ya,"Identifikasi kontak erat (wawancara); Organisasi lacak kontak (koordinasi, dll); Entri dan rekap data",Setuju,Setuju,Setuju,Setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Sangat setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Netral,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mendapatkan panduan untuk perlindungan terhadap diri sendiri dan keluarga dalam situasi pandemi; Adanya insentif",Melindungi masyarakat dari risiko penyebaran COVID-19; Berperan aktif dalam mengatasi pandemi; Adanya insentif tambahan,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,
2021/02/16 14:15:37,Relawan,Puskesmas,1990,Wanita,Diploma/S1,Tidak mengikuti,Ya,Identifikasi kontak erat (wawancara),Setuju,Setuju,Tidak setuju,Setuju,Sangat setuju,Sangat setuju,Setuju,Sangat tidak setuju,Setuju,Netral,Sangat setuju,Sangat setuju,Tidak setuju,Setuju,Tidak setuju,Setuju,Setuju,Setuju,Sangat setuju,Sangat setuju,Setuju,Sangat setuju,Setuju,Tidak setuju,Setuju,Sangat tidak setuju,Setuju,Setuju,Netral,Sangat tidak setuju,Setuju,Setuju,Tidak setuju,Netral,Netral,Setuju,Tidak setuju,Netral,Setuju,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mendapatkan panduan untuk perlindungan terhadap diri sendiri dan keluarga dalam situasi pandemi; Adanya insentif",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone; Laptop,3-5 jam,Sangat sulit (sering meminta bantuan orang lain dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Diklat/seminar/pelatihan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,RATNAWATI
2021/02/16 13:57:27,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1992,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,1-3 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu)",1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,3-5 jam,1-3 jam,1-3 jam,,Puskesmas,,,,,Puskesmas,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kekurangan SDM untuk melakukan pelaporan,4,Kontak erat/kasus konfirmasi berhasil sembuh; Mendapat insentif/reward yang sesuai; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Email; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form Excel; Aplikasi milik Kab/Kota,Form Excel; WhatsApp Group; Aplikasi milik Kab/Kota,Tidak pernah,,3,Melakukan pelaporan dengan lebih praktis; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat; Menerima hasil swab secara cepat,"Rp3.000.001,00 - Rp4.000.000,00",Tidak,
2021/02/16 13:41:37,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1969,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Membantu piket di posko P3K",Lebih dari 5 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia","Alamat kontak erat tidak ditemukan; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya)",Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,4,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh,WhatsApp; Telepon; Email,WhatsApp,Form PE kertas,Form Excel,Setiap hari,3,3,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Mengetahui pasien yang memiliki komorbid dan yang sudah diswab; Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi,,Tidak,
2021/02/16 13:28:05,Perawat,Puskesmas,1978,Pria,Diploma/S1,Tidak mengikuti,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,3-5 jam,Sangat sulit (sering meminta bantuan orang lain dalam melakukan aktivitas online),Tidak terbiasa melakukan aktivitas online,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,Ahmad Syafii
2021/02/16 13:27:57,nutrisionis,Puskesmas,1979,Wanita,Diploma/S1,Tidak mengikuti,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diklat/seminar/pelatihan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,Yanti Februwanti
2021/02/16 13:26:15,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1974,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Melakukan analisis di laboratorium",Lebih dari 5 jam,1-3 jam,3-5 jam,1-3 jam,1-3 jam,3-5 jam,3-5 jam,3-5 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi; Kesulitan untuk menemukan kembali arsip kertas form PE,4,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Telepon; Email; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Form Excel; New All Record (NAR); Aplikasi milik Kab/Kota,Form PE kertas; Aplikasi Pelaporan (Pikobar); New All Record (NAR); WhatsApp Group; Aplikasi milik Kab/Kota,1-2 minggu sekali,3,4,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah,"Rp2.000.001,00 - Rp3.000.000,00",Ya,Evi Yusdiana
2021/02/16 13:21:26,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1977,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sulit,Biaya internet yang mahal,Petunjuk Teknis (Juknis),"Membantu anamnesa pasien; Pemegang program tb, kusta, zoonosis",Lebih dari 5 jam,Kurang dari 1 jam,1-3 jam,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",Beli multivitamin,"Alamat kasus konfirmasi tidak sesuai dengan domisili; Lintas sektor (kelurahan, RT/RW) tidak kooperatif; Pasien dan klg pasien konfirmasi susah dihubungi","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya)",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi; Kekurangan SDM untuk melakukan pelaporan,3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp,WhatsApp,Form PE kertas,Aplikasi milik Kab/Kota,Setiap hari,3,3,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Mempersingkat durasi wawancara dengan pasien terkonfirmasi/kontak erat,,Ya,Nonheli
